//Sentences
"This is not the first Halfling to have crossed your path.", "Detta är inte den första halvlingen du stött på?"
"Have you done anything in this direction for the Halki Seminary to reopen?", "Har ni agerat på något sätt för att Halkiseminariet ska kunna öppnas på nytt?"
"– Commissioner, we all know that the Halki Seminary was closed several years ago.", "– Herr kommissionsledamot! Som vi alla vet stängdes Halkiseminariet för flera år sedan."
"The European Union has also urged Turkey to reopen the Halki Greek Orthodox Seminary.", "Europeiska unionen har också uppmanat Turkiet att öppna det grekisk-ortodoxa seminariet i Halki på nytt."
"The last person to appeal to have the Halki Seminary opened was President Barack Obama.", "Den senaste personen som vädjade om att det grekisk-ortodoxa Halki-seminariet skulle öppnas var president Barack Obama."
"The European Union has also repeated its calls for Turkey to reopen the Halki Greek Orthodox Seminary.", "Europeiska unionen har också upprepat sina krav att Turkiet åter ska öppna det grekisk-ortodoxa Halki-seminariet."
"The European Union has also repeated its calls for Turkey to reopen the Halki Greek Orthodox Seminary.", "Har ni några bestämda uppgifter om några sådana förbättringar har gjorts, speciellt när det gäller egendomsrätten och prästutbildningen?"
"A list of names has been compiled here in this House with a position in writing adopted in favour of opening the clerical Seminary of Halki.", "Här i parlamentet har en namninsamling gjorts, med en skriftlig ståndpunkt som antagits till förmån för öppnandet av prästseminariet i Halki."
"I also support the call for Article 301 of the Penal Code to be abolished and for the Greek Orthodox Halki Seminary to be immediately re-opened.", "Jag stöder även kravet på att avskaffa artikel 301 i strafflagen och på att omedelbart öppna det grekisk-ortodoxa Halki-seminariet på nytt."
"For that reason, Turkey should immediately allow the Halki Seminary, for example, to continue to function and, furthermore, restore the protection of church property.", "Turkiet borde därför omedelbart se till att Halki-seminariet kan fortsätta och återupprätta skyddet av kyrklig egendom."
"We expect to see not only reflection but also concrete action in order to open the Halki seminary, which is very important for this particular religious community.", "Vi förväntar oss inte enbart överväganden, utan också konkreta åtgärder för att inleda Halkiseminariet, som är mycket viktigt för detta specifika religiösa samfund."
"It is certainly the case that the Union continues to urge the Turkish Government to reopen the Halki Greek Orthodox Seminary, as I said, that closed back in 1971.", "Det är definitivt så att unionen fortsatt uppmanar den turkiska regeringen att snarast åter öppna det grekisk-ortodoxa Halki-seminariet, som jag sa, som stängdes redan 1971."
"Dress up like Halloween and ghouls will try to get in your pants.", "Om du klär ut dig som en häxa, får du förvänta dig skithögar."
"Miko: Did you hear about Nakilia's big Halloween party this weekend?", "Miko: Hörde du om Nakilias stora Halloweenfest i helgen?"
"Why do you think I'm dressed like this, for Halloween?", "Varför tror du annars jag är klädd såhär?"
"If all the animals along the equator were capable of flattery...... then Thanksgiving and Halloween...... would fall on the same date.", "Om alla djur längst ekvatorn hade förmågan att smickra, då skulle Tacksägelsedagen och allhelgona vara på samma datum."
"At free time, she has also practiced at a sports injury clinic in Halmstad BK. - The internship is great.", "På ledig tid har hon också praktiserat på en idrottsskadeklinik och hos Halmstad BK. - Praktiken är jättebra."
"Rebecca Nilsson, Halmstad, and Jannice Meyer, Malmo, is studying the last term on the Occupational Therapy program at LTU.", "Rebecca Nilsson, Halmstad, och Jannice Meyer, Malmö, går sista terminen på Arbetsterapeut programmet på LTU."
"Malin Lindberg, researcher i gender at Luleå University of Technolgy, recently visited Halmstad University to talk about the gender aspect in innovation processes.", "Malin Lindberg, genusforskare vid Luleå tekniska universitet, besökte nyligen Högskolan i Halmstad för att prata om genus i innovationsprocesser."
"Professor Lennart Ljung, SEK 30.7 million per year, of which SEK 13.8 million goes to LiU (Collaborative partners: Lund University, Blekinge Institute of Technology and Halmstad University).", "Dessutom är LiU medsökande inom E-vetenskap (8,1 miljoner kronor per år till LiU) och transportforskning (6,5 miljoner till LiU)."
"ELLIIT, a strategic effort from the Ministry of Education, where LiU, Lund University, Blekinge Institute of Technology and Halmstad University are conducting a joint project in the field of IT.", "ELLIIT, en strategisk satsning från utbildningsdepartementet, där LiU, Lunds universitet, Blekinge tekniska högskola och Högskolan i Halmstad driver gemensamma projekt inom it-området."
"Ham and cheese.", "Ost och skinka."
